species	r10_b10-threshold-0.0001	r10_b10	r10_b11-threshold-0.0001	r10_b11	r10_b12-threshold-0.0001	r10_b12	r10_b13-threshold-0.0001	r10_b13	r10_b14-threshold-0.0001	r10_b14	r10_b15-threshold-0.0001	r10_b15	r10_b16-threshold-0.0001	r10_b16	r10_b17-threshold-0.0001	r10_b17	r10_b18-threshold-0.0001	r10_b18	r10_b19-threshold-0.0001	r10_b19	r10_b1-threshold-0.0001	r10_b1	r10_b20-threshold-0.0001	r10_b20	r10_b21-threshold-0.0001	r10_b21	r10_b22-threshold-0.0001	r10_b22	r10_b23-threshold-0.0001	r10_b23	r10_b24-threshold-0.0001	r10_b24	r10_b2-threshold-0.0001	r10_b2	r10_b3-threshold-0.0001	r10_b3	r10_b4-threshold-0.0001	r10_b4	r10_b5-threshold-0.0001	r10_b5	r10_b6	r10_b7-threshold-0.0001	r10_b7	r10_b9-threshold-0.0001	r10_b9	r11_b10-threshold-0.0001	r11_b10	r11_b11-threshold-0.0001	r11_b11	r11_b12-threshold-0.0001	r11_b12	r11_b13-threshold-0.0001	r11_b13	r11_b14-threshold-0.0001	r11_b14	r11_b15-threshold-0.0001	r11_b15	r11_b16-threshold-0.0001	r11_b16	r11_b17-threshold-0.0001	r11_b17	r11_b18-threshold-0.0001	r11_b18	r11_b19-threshold-0.0001	r11_b19	r11_b1-threshold-0.0001	r11_b1	r11_b20-threshold-0.0001	r11_b20	r11_b22-threshold-0.0001	r11_b22	r11_b23-threshold-0.0001	r11_b23	r11_b24-threshold-0.0001	r11_b24	r11_b2-threshold-0.0001	r11_b2	r11_b3-threshold-0.0001	r11_b3	r11_b4-threshold-0.0001	r11_b4	r11_b5-threshold-0.0001	r11_b5	r11_b6-threshold-0.0001	r11_b6	r11_b7-threshold-0.0001	r11_b7	r11_b8-threshold-0.0001	r11_b8	r11_b9-threshold-0.0001	r11_b9	r12_b10-threshold-0.0001	r12_b10	r12_b11-threshold-0.0001	r12_b11	r12_b12-threshold-0.0001	r12_b12	r12_b13-threshold-0.0001	r12_b13	r12_b14-threshold-0.0001	r12_b14	r12_b15	r12_b16-threshold-0.0001	r12_b16	r12_b17-threshold-0.0001	r12_b17	r12_b18-threshold-0.0001	r12_b18	r12_b19-threshold-0.0001	r12_b19	r12_b1-threshold-0.0001	r12_b1	r12_b20-threshold-0.0001	r12_b20	r12_b21-threshold-0.0001	r12_b21	r12_b22-threshold-0.0001	r12_b22	r12_b23-threshold-0.0001	r12_b23	r12_b24-threshold-0.0001	r12_b24	r12_b2-threshold-0.0001	r12_b2	r12_b3-threshold-0.0001	r12_b3	r12_b4-threshold-0.0001	r12_b4	r12_b5-threshold-0.0001	r12_b5	r12_b6-threshold-0.0001	r12_b6	r12_b7-threshold-0.0001	r12_b7	r12_b8-threshold-0.0001	r12_b8	r12_b9-threshold-0.0001	r12_b9	r13_b12-threshold-0.0001	r13_b12	r13_b14-threshold-0.0001	r13_b14	r1_b10-threshold-0.0001	r1_b10	r1_b11-threshold-0.0001	r1_b11	r1_b12-threshold-0.0001	r1_b12	r1_b13-threshold-0.0001	r1_b13	r1_b14-threshold-0.0001	r1_b14	r1_b15-threshold-0.0001	r1_b15	r1_b16-threshold-0.0001	r1_b16	r1_b17-threshold-0.0001	r1_b17	r1_b18-threshold-0.0001	r1_b18	r1_b19-threshold-0.0001	r1_b19	r1_b1-threshold-0.0001	r1_b1	r1_b20-threshold-0.0001	r1_b20	r1_b21-threshold-0.0001	r1_b21	r1_b22-threshold-0.0001	r1_b22	r1_b24-threshold-0.0001	r1_b24	r1_b2-threshold-0.0001	r1_b2	r1_b3-threshold-0.0001	r1_b3	r1_b4-threshold-0.0001	r1_b4	r1_b5-threshold-0.0001	r1_b5	r1_b6-threshold-0.0001	r1_b6	r1_b7-threshold-0.0001	r1_b7	r1_b8-threshold-0.0001	r1_b8	r1_b9-threshold-0.0001	r1_b9	r3_b10-threshold-0.0001	r3_b10	r3_b11-threshold-0.0001	r3_b11	r3_b12-threshold-0.0001	r3_b12	r3_b13-threshold-0.0001	r3_b13	r3_b14	r3_b15-threshold-0.0001	r3_b15	r3_b16	r3_b17	r3_b18-threshold-0.0001	r3_b18	r3_b19-threshold-0.0001	r3_b19	r3_b1	r3_b20	r3_b21	r3_b22	r3_b23-threshold-0.0001	r3_b23	r3_b24-threshold-0.0001	r3_b24	r3_b2-threshold-0.0001	r3_b2	r3_b3	r3_b4	r3_b5-threshold-0.0001	r3_b5	r3_b6	r3_b7-threshold-0.0001	r3_b7	r3_b8-threshold-0.0001	r3_b8	r3_b9	r4_b10-threshold-0.0001	r4_b10	r4_b11-threshold-0.0001	r4_b11	r4_b12-threshold-0.0001	r4_b12	r4_b13-threshold-0.0001	r4_b13	r4_b14-threshold-0.0001	r4_b14	r4_b15-threshold-0.0001	r4_b15	r4_b16-threshold-0.0001	r4_b16	r4_b17-threshold-0.0001	r4_b17	r4_b18-threshold-0.0001	r4_b18	r4_b19-threshold-0.0001	r4_b19	r4_b1-threshold-0.0001	r4_b1	r4_b20-threshold-0.0001	r4_b20	r4_b21-threshold-0.0001	r4_b21	r4_b22-threshold-0.0001	r4_b22	r4_b23-threshold-0.0001	r4_b23	r4_b24-threshold-0.0001	r4_b24	r4_b2-threshold-0.0001	r4_b2	r4_b3-threshold-0.0001	r4_b3	r4_b4-threshold-0.0001	r4_b4	r4_b5-threshold-0.0001	r4_b5	r4_b6-threshold-0.0001	r4_b6	r4_b8-threshold-0.0001	r4_b8	r4_b9-threshold-0.0001	r4_b9	r5_b10-threshold-0.0001	r5_b10	r5_b11-threshold-0.0001	r5_b11	r5_b12-threshold-0.0001	r5_b12	r5_b13-threshold-0.0001	r5_b13	r5_b14-threshold-0.0001	r5_b14	r5_b15-threshold-0.0001	r5_b15	r5_b16-threshold-0.0001	r5_b16	r5_b17-threshold-0.0001	r5_b17	r5_b1-threshold-0.0001	r5_b1	r5_b20-threshold-0.0001	r5_b20	r5_b21-threshold-0.0001	r5_b21	r5_b22-threshold-0.0001	r5_b22	r5_b23-threshold-0.0001	r5_b23	r5_b24-threshold-0.0001	r5_b24	r5_b2-threshold-0.0001	r5_b2	r5_b3-threshold-0.0001	r5_b3	r5_b4-threshold-0.0001	r5_b4	r5_b5-threshold-0.0001	r5_b5	r5_b6-threshold-0.0001	r5_b6	r5_b7-threshold-0.0001	r5_b7	r5_b8-threshold-0.0001	r5_b8	r5_b9-threshold-0.0001	r5_b9	r6_b10-threshold-0.0001	r6_b10	r6_b11-threshold-0.0001	r6_b11	r6_b12-threshold-0.0001	r6_b12	r6_b13-threshold-0.0001	r6_b13	r6_b14-threshold-0.0001	r6_b14	r6_b15-threshold-0.0001	r6_b15	r6_b16-threshold-0.0001	r6_b16	r6_b17-threshold-0.0001	r6_b17	r6_b1-threshold-0.0001	r6_b1	r6_b20-threshold-0.0001	r6_b20	r6_b21-threshold-0.0001	r6_b21	r6_b22-threshold-0.0001	r6_b22	r6_b23-threshold-0.0001	r6_b23	r6_b24-threshold-0.0001	r6_b24	r6_b2-threshold-0.0001	r6_b2	r6_b3-threshold-0.0001	r6_b3	r6_b4-threshold-0.0001	r6_b4	r6_b5-threshold-0.0001	r6_b5	r6_b6-threshold-0.0001	r6_b6	r6_b7-threshold-0.0001	r6_b7	r6_b8-threshold-0.0001	r6_b8	r6_b9-threshold-0.0001	r6_b9	r7_b10-threshold-0.0001	r7_b10	r7_b12-threshold-0.0001	r7_b12	r7_b15-threshold-0.0001	r7_b15	r7_b16-threshold-0.0001	r7_b16	r7_b17-threshold-0.0001	r7_b17	r7_b18-threshold-0.0001	r7_b18	r7_b19-threshold-0.0001	r7_b19	r7_b1-threshold-0.0001	r7_b1	r7_b20-threshold-0.0001	r7_b20	r7_b21-threshold-0.0001	r7_b21	r7_b22-threshold-0.0001	r7_b22	r7_b23-threshold-0.0001	r7_b23	r7_b24-threshold-0.0001	r7_b24	r7_b2-threshold-0.0001	r7_b2	r7_b3-threshold-0.0001	r7_b3	r7_b4-threshold-0.0001	r7_b4	r7_b5-threshold-0.0001	r7_b5	r7_b6-threshold-0.0001	r7_b6	r7_b7-threshold-0.0001	r7_b7	r7_b8-threshold-0.0001	r7_b8	r7_b9-threshold-0.0001	r7_b9	r8_b10-threshold-0.0001	r8_b10	r8_b11-threshold-0.0001	r8_b11	r8_b12-threshold-0.0001	r8_b12	r8_b13-threshold-0.0001	r8_b13	r8_b14-threshold-0.0001	r8_b14	r8_b15-threshold-0.0001	r8_b15	r8_b16-threshold-0.0001	r8_b16	r8_b17-threshold-0.0001	r8_b17	r8_b19-threshold-0.0001	r8_b19	r8_b1-threshold-0.0001	r8_b1	r8_b20-threshold-0.0001	r8_b20	r8_b21-threshold-0.0001	r8_b21	r8_b22-threshold-0.0001	r8_b22	r8_b23-threshold-0.0001	r8_b23	r8_b24-threshold-0.0001	r8_b24	r8_b2-threshold-0.0001	r8_b2	r8_b3-threshold-0.0001	r8_b3	r8_b4-threshold-0.0001	r8_b4	r8_b5-threshold-0.0001	r8_b5	r8_b6-threshold-0.0001	r8_b6	r8_b7-threshold-0.0001	r8_b7	r8_b8-threshold-0.0001	r8_b8	r8_b9-threshold-0.0001	r8_b9	r9_b10-threshold-0.0001	r9_b10	r9_b11-threshold-0.0001	r9_b11	r9_b12-threshold-0.0001	r9_b12	r9_b13-threshold-0.0001	r9_b13	r9_b14-threshold-0.0001	r9_b14	r9_b15-threshold-0.0001	r9_b15	r9_b16-threshold-0.0001	r9_b16	r9_b17-threshold-0.0001	r9_b17	r9_b18-threshold-0.0001	r9_b18	r9_b19-threshold-0.0001	r9_b19	r9_b1-threshold-0.0001	r9_b1	r9_b20-threshold-0.0001	r9_b20	r9_b21-threshold-0.0001	r9_b21	r9_b22	r9_b24-threshold-0.0001	r9_b24	r9_b2-threshold-0.0001	r9_b2	r9_b3-threshold-0.0001	r9_b3	r9_b4-threshold-0.0001	r9_b4	r9_b5-threshold-0.0001	r9_b5	r9_b6-threshold-0.0001	r9_b6	r9_b7-threshold-0.0001	r9_b7	r9_b8-threshold-0.0001	r9_b8	r9_b9-threshold-0.0001	r9_b9
Abiotrophia defectiva																																						21.01754798723308										120.29877359387132	120.15405895826407																			546.7700097088897	544.8862104770246																																																																		24.039449693353223	24.02672765677418				38.00929210686021																																					38.07716993431279	38.03604511744247					587.3968447397018	586.6454292536877											789.9814958793345	789.8319803164776																										12.011381410363072	111.37861046057768	111.29877084607114							14.00621625812272	430.1659965106493	428.32457165565415		36.0181530463407	105.20247751261624	105.03024391380876										12.006784238212058														11.00618532391326								13.016379547328874		15.004712038723024												14.010011667733073																																													32.07195907172175	32.036188122274815	878.6493952370638	861.7786530089388																																		16.009644175332987																									12736.855531540712	12701.715152502917				13.010441805896942																																												22.034902326594807																																																					
Absiella tortuosum																																																																				84.73719476539208	74.09002560502566																																																																																																																	12.777740555330878	168.85730246455824	162.17504121538437																																																																																																																																																																																																																																																																																																																				
Abyssivirga alkaniphila		22.503419322333336	46.25121436352647	31.50987506621873					50.60878209668284	39.8346945180484					112.9251860121069	71.74362563921186				22.294739545634084		19.790582318505567		22.930469389797302			67.34206335980399	36.66487854663561	42.84483289241596	35.49427215873616			173.2082677240953	162.53034260025402	50.5753321392458	32.69217580784615	358.0220960450191	327.8946340912582					22.01625421623583				28.840843523604597					66.36971429404434	60.55246497519624		22.761182876568867													117.6236386209231	91.16176398764776																						31.542830214730422	28.12281642316675	24.664294386642336					19.313628770163696	19.138137620054582	33.10651700780763	31.95435892649021		63.73325739820065	52.93964976768269				20.02126734629632	30.058825119613434	24.5376156309313							45.011926835953126	37.03519121436965									26.427222158463337	26.024592123890933		15.150790525139428										18.971416424813007				22.43552790705369					50.77997425018832	35.20108548194263	23.800035899159024	23.48272041927008	39.05310112525603	30.57705262412432			48.58965441082504	35.83451209907433	168.46789332985827	157.92975053543572	315.15641249091885	304.6000517170296			46.42544377416948	45.35854309546388	24.35415107205983	23.92186097383677		12.234004078987796										29.89161424148701	41.65770904208679	41.39254900349848																						21.03314223908421	21.016024420273958				33.47097391914257																23.86406386990202		18.37469127348071												34.09662848830444					77.18948708915931	57.3229143818452				31.430592959941837		42.082642114539645				25.34679495656723									87.74480899082945	60.63894226303639			59.931887381157615	32.56617961285403												23.48550590848251														27.466622309758723	62.07177429322747	32.34494179359028	50.78655796110246	29.137405743341304	42.40694531487389	25.915589995687977		25.218957991577227			46.11559517513791	28.05164173548155										18.038870055524605			299.45939612884087	297.4629303172531		22.37479118592244	72.06909329711301	63.248752519903945	117.60164757566538	101.6944177961944				25.216065059905876	42.86199346890597	32.69387513001217			25.140033083177777	23.747462744634237			52.10988380118773	47.13285334759801			31.181533810843337	31.01082352335422							40.18554447500012	29.87558197269517	40.9070599077029	25.279983657233096	36.09811713711041	32.69203010360412	44.45723910713336	30.351328388368668				28.17250729508957													80.30679806225166	58.00285106577056						19.426809644016732			147.32811860516176	130.84591286505412						19.817460694994107						15.479270042719236		31.283675713881493	42.608105175755234	41.30226510534563	58.78839194093269	51.49097064953741	104.09035188474816	93.97923249073564		13.436127517088376		17.589422119729882				23.42570930533363												27.819472444894807														27.313935035890506			33.69802008023582	30.532984334690354													85.6093567091188	70.08899486208203	80.58672890028137	74.15534582741182	53.40780844197968	37.29239414472757				29.78967393039483		15.112303643442004		28.97053496151449					18.74140114339066										15.849455102594096		29.16246899568202		23.24718069668157		
Acetanaerobacterium elongatum	32.22567003936907	31.17547433153	42.22340224358735	41.538293346235335					54.21917809182788	54.161143246995785						13.156382371036305				18.022629442969805	58.10916683780472	56.69207089141332		17.362432553682385			58.90298985072583	55.65843640060229		11.628912148484533				18.78044372612924	102.01962140959654	97.91134953990812	240.71195295149136	238.7292019304272	60.00693675666767	57.23593735927058		47.870487880266914	44.68543087534349			90.3044652952185	88.99083632339398					270.92171607432124	267.376137988809		22.615492274330336											45.98824100730831	44.90551432112037					42.66471905314646	38.60677312274828						18.52473678017437	97.47648879795412	90.53658539613696	28.76030789539409	26.600235904746945					47.79722485110164	44.66558200109074	57.07705679093876	57.000025530597625										20.778891238163823		33.64829956858564	31.57068841373589			67.1392348054497	62.51318260940995		14.232330527400585							62.25403149380588	60.2488600419526											21.564728843540856	21.457700111814287										20.057684635699083			26.287830961666447	26.174828878832976	17.095168842176797	16.083031030982166			101.0301855031508	100.88490409059928	34.52870255617574	34.51559789706192	64.23420522762405	61.80825235432829				14.31086916718342		12.463138520083914		12.593501277162348				15.716662846557709			34.510081592368394	32.17317364635597										16.391909726706277		16.518789832221028				13.224566857941822			13.453824227028118	12.441251514287782								21.883256177214456	21.88632407315954	19.0752326154156				20.60417903210351	20.596984222253504									19.67950414573266	19.681740416441823	15.097426120885242		23.223786655066807	23.165483367286207							84.19232809385657	76.0372871936239																14.267469834171632	128.0399849731496	126.5447485931663				31.872920692610112	180.21777689724652	177.09875787834187			276.4904481562696	268.1077271104354										17.40016818797269			47.83335327249712	40.24847086679174					75.24408720573784	75.20276663809535			112.097069400763	111.8509428416487	167.92025082967507	167.7519519024983	255.9620860481443	255.68383985798084	56.39014472239068	51.84815954900626	67.09211428302619	66.7606252557185		18.26837256122675						10.376405538116105	77.12446394471942	74.01807634613738	62.86924054075458	59.6822926542613	40.4028993556891	40.04988971377836	180.36723608181848	178.95884078377748	72.1234245329597	66.24796960746897	31.763249647302807	29.709567086028294		10.76193423213804				13.594036649462002			58.77638019534992	57.607497281610165		21.807032475097625		14.71484662239326			140.86768182925735	125.6413733702225	97.6624302522499	94.08237036778814					75.54071539839371	73.45855554950971	167.43428491240925	167.32110963275628	24.89074150969499	21.80281859766293							60.31649448249021	59.72207387775276							74.69603252338598	73.54116996375774		16.70092010229722	133.74659858753037	132.40886518315855	354.11492124440736	350.5224589810249			240.4592063954299	238.83348314405836														44.71685562872545			42.69344808723118	42.07894450079179	126.2756360961925	116.74802724002316				14.435316835483622					37.88319868605625	35.08644148497573							88.25287318806946	87.03484534497306	110.25338399960344	109.0547927239684	120.98408736245364	116.75983783206064	207.74580945152312	203.41609430637928	480.3694367351967	471.929117463811				37.31370864532123		12.731322844941454				13.341853092869734								17.998718890860356			45.8384662568894	40.31813784658672										14.16351220654718			57.5909880254356	57.54557043885093					70.93128292843694	68.90694836405204	98.0544214920963	94.84973684121786	35.90713746076832	31.67886337346626	211.58442950510144	210.0671177762352				22.569470017751808	36.66214805354414	35.57746755899516		10.01589170759547	106.06479917549142	105.8189860562616	63.24984018793601	62.087979960775534		36.874606621811616									13.796161028041068		11.848330047688178				34.44782778437707	143.89227753871182	142.71183089138376			382.082047439677	380.0076941904759
Acetivibrio ethanolgignens		22.420615294296848	33.53566946787603	33.24578335035334	54.10321689024215	46.29929154066718				30.067428335473277				12.329213897331243	57.1737156297346	54.91684916983052				25.53709349801503		31.4113765264948		10.455361805351476							248.03914081675063	242.9088536513215		33.375059956925725		21.03358809492283			49.764891439120056	47.541233846358764					33.02218604110907	51.39875434088378	46.06317858853582						25.845830165326948	60.06191114657566	47.909815848043				22.653208347907825		21.424408085731493		21.200192584390084			174.07353361236417	166.59124390184863			39.16257831943845	35.119272962259764							63.79284374698191	56.35806883111663	41.82680762480536	33.07709511038625																							18.17577639831905					26.78330283226937	26.7837037851337	91.79144025746304	88.83152161786819	56.68169048951348	56.44533342784573			20.974885098627546	20.16610262797865		13.66746837569483				12.187224300497858			33.515450300657804	31.722200049155724					21.40303092862445	21.15061598768923						90.6870188053054			43.23760252427972	41.028529263673285	25.75838585416328	24.642017069280467			32.62280703241852	31.15666900969399	79.64919227777949	77.28734434279448					77.93490193526993	72.78151900473844	118.42909778550148	118.15201533988083	50.12799780724149	48.970926192010815			47.19431916056332	46.87095123514332	114.66624609308538	107.24647559826138								12.061134094784393																								15.078327337423753								16.308089882834757	15.28461426206938			16.425525872461034	16.30009166721989					41.41152453393257	41.2139535975728							89.154697618449	86.15323162559623																15.266718423752234		41.856755561852125		37.4889808349798		11.038050775665972	50.68197963153907	47.064130433759786			92.22191755498496	85.28785821388394			73.26347337920997	68.39697478526372		15.28144570930355		15.126959716139602	288.3719972778439	280.068161272153										16.801767997694075			39.58292949962758	38.50277135256511	47.22827535066753	44.120888739935474				13.35263845527195	40.0316682256522	37.17307678731478							123.14690970416348	114.21847257478176		14.138208202085242	40.590340809568055	39.09830430975828		14.062460040135514	74.8219219064649	67.12072465002193		21.840298619218228	41.32039875133729	39.13978248195458			33.59157844421395	30.618805823963516								14.959422022862569		12.106089249568797		12.089950909933588		18.107525039212437	34.86716849344939	28.806169088283006			282.76828939911945	281.0816209109479	61.30642649036624	57.10163050423968								15.79607572068157		12.847029211981049	37.04485783462582	34.967824871387855	91.4650023526963	90.48568560287764						17.140492033274445			56.58501604300742	55.12193648822648		22.66130421049404		10.058831642296267		15.972124629969892																	39.21064292859992	38.85495203525532		16.879743249566467										13.487680366505122						14.814180117904948		31.473587461675603		21.755598259119655		14.68682790134094		14.293386408301943		16.26559406247569								14.21946924804408								12.597727854688255		22.808364476121703						12.99005773725188		28.98293888472071					51.586631875209406	46.57475768779606			32.19076143792982	32.00635285591709	51.99486683732293	48.84543433891265		26.00794561710616	37.82504011691963	36.6920182333026		17.04096406024017				13.675381187927	81.1684770497118	70.17819548290198		10.733750904023664	95.77073421326553	92.5590530128981				29.28052626927965		16.716728271868067	63.2216260478121	57.3730677471349		16.86570320757278		56.24355443611927	54.05433963931522		18.968676608522237								36.67377054915745	39.07167075724897	38.3916358623777	199.6005634855488	196.8701745272916	147.59295390425433	140.84080174829143
Acetoanaerobium pronyense																																																																																																																																																																																																																																																																																																																																																																																															24.732262179970203																																																																																																													
Acetobacter pomorum																																																																																																																																																																																																																																																																																																																																																																																															34.03242356190942																																																																																																													
Acetobacterium bakii																																			632.1070315308285	624.7280210535524																																	20.50965544057247																																																																																																				218.21511888617823	215.29828005257045																																																22.425344136835733	22.15089362049534																																20.5559827187733																													161.18257665851118	155.22470685772683						17.377158908566198											194.7173700186989	194.04496954425684																												14.531796701333745					39.9475470871854	39.96769148348262											40.47542938441855	40.04011375449465									50.60466576318533	47.28785921208686																											8867.95455445677	8822.940582992494																				13.434652853564511	38.2160008781391	38.27588747696295	134.98748766172324	131.22686100115817	1048.668002388525	1034.120444044754																																									36.669078220192034	34.41404736028817		12.932415881477452																																		95.56153115192996	78.48652608774981				
Acetobacterium carbinolicum																																			71.94254736225808	68.40677685054959																																																																																																																																																																																																																																																																																																																																																										546.3563036311264	537.0357694826394																									49.96857844916637	46.23276497791024																																																																																			
Acetobacterium fimetarium																																																																																																																																																																																																																																																																																																																																																																																															19.446028738696537																																																																																																													
