"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"Old"	1	3334.39869142621	0.0206985758252092	1.81770135019253	0.006
"Residual"	86	157758.747019845	0.979301424174791	NA	NA
"Total"	87	161093.145711271	1	NA	NA
