"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"BMI"	1	1843.05159223152	0.0252654701863591	1.34785873435905	0.054
"Residual"	52	71104.3971841855	0.974734529813641	NA	NA
"Total"	53	72947.448776417	1	NA	NA
